,Job_Name,Link,Job_Location,Internship,Teamwork,Client Communication,Time Management,Intrapersonal
58,DATA SCIENTIST,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0CW81yLmMX0jZhkp9wi2Zzr1m-t1jAbw6FN9Wv5HozWh14F5jwCNHCXR2SMRH94RkiJl-9VEPLSMrqxQEyU1Gv-26IiIy0HkWM2RmvKZ7rRwiqbiCQS5ANixGX-hpQ2ko1TmyHM0qFWhLCooxFdx63KTMO4APb1o0m5gNabkuXXfQtvxq8iXpIM3lzZSZI5ZQgGJKPBOa4na7zUGDRpQdMb073gzLXiod-DiNnpQGSxHKEokAZZdbBfuWI9rK-nrkq_Ky14JQFclDq91BBQ9SNp7PDXNLNS0BqbMq-r5ZIHvZCCVbPgenZNaNmyESYYVEFtX5IWCSNsiDsPi3PXD6WIsQimw6gcbWe1WhmRsraE7WzKJIri-h3gOviY-8CriUUotzfcoJFnmASPNyj8H8S71Uq7R2-0Vk9qh4CdZAmIWg==&p=2&fvj=0&vjs=3,Toronto,,1,,,
59,Big Data Instructor,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0CYMvVl1R3x4HhPmDe20s-Dsm8iEII5uyjFc-sLJEUXzLh2VAYLKF2jRQ5wKCQUQVEJBRfM7UITcbgLYL356kofBJUIJujXzN2DBReUeYkT1QzGkRR1PNVAGuESHqOPpvZdtigSrw45ao3-nzuu-x3yMyS3cTLhaTbB6EkBd7cmBTYOhe_BDBSzuRklAVyzZem-jlB7JpcFwAHYZTK5Hsmeia2IuXgKoPslPAlNNSFaZWSU2vglZrPMQO_dF20-PiI0V-OTbSbAwJiOULjU__K3fwWSB5trE_eAyU8qIlrhbu3iS9mCefZJ2e-0kTqUhR34LbJLBaSkiw2745ZJzUB4D2Blgwhe5zlr3W9uc06kw9-CNccoKB-4TNQJkoi8LbYmdQFV_c4QLK65AbyIg1kjgvuOz3jXPeCKW7Gu_PUX6ZfS-uyV-boyaPoGa8ygndnlZCGubB_D1w==&p=3&fvj=1&vjs=3,Toronto,,,,,
60,Data Scientist - Price Point – Start-up company,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0BJik0eOC2RiRcwALxZHhvolY0CiBGpIrD3jqHmT6hgcj9GGUq3nwzxcDRn3ID9hoVNHpFJfiMZVEii0Cjbtagb3mhNDEo_oIHpFMg9rCWYzYfQN4HIi5Iz2oA57hgnhTPzzOvyQ_a7LX3zRK22bHJRRSaN0PAPBBB3IrcOYUTwERgvl7Fts7DqpDUIP00OsXESQIKXfXuY1acU_fCBrPw41n_jMcLQOD9casJwrdCRJV0BDQjT17nZhviyeNDyK8MQMSRYYZ6DfQYn0Fr_hwg9vUT3WpUYThD9oByE3SpA55jCGswlfsC0McbOPsnhC5mt_OJX4Ko_0AUmR_jCF-pymuGiweGDc1V3ZAoIe--OdQlc_3iugg5q6usNFh3zFxTM--RoxFhZ2cnPeRu922iq8z0ghvccXq-dCa4gJCCVdoaerSjL56XuYN5aG-tsCMSC060fFZhHToAWsH_s7PVEDBFMnKBkPaUBcZ9gMg8kYhbsZ-yaJSaIMURTdswLfwa_cj4Ub0cefq3VnyrmC_Ty3PwT2A6Wsn7VZfunUHc6lZS8bJHoEi_rRUo7fQqjyB3r7TqYK1bnXQ==&p=4&fvj=0&vjs=3,Toronto,,,,,
61,Machine Learning Engineer / Data Scientist,https://www.indeed.ca/rc/clk?jk=e2322f987b7eeab1&fccid=80413c126d4e4312&vjs=3,Toronto,,,,,1
62,Data Analyst,https://www.indeed.ca/rc/clk?jk=0e974c28f07a8e49&fccid=64d182c6fc449d3a&vjs=3,Toronto,1,1,1,,
63,Software Engineer - Backend (Big Data) - Toronto,https://www.indeed.ca/rc/clk?jk=5a0a368a143d818e&fccid=0e94073a1c937bd1&vjs=3,Toronto,1,1,,,
64,Data Scientist,https://www.indeed.ca/rc/clk?jk=69e38e3474ca2a17&fccid=b7254da6203c84b3&vjs=3,Toronto,1,,,,1
65,Sr. Data Scientist,https://www.indeed.ca/rc/clk?jk=54f8064bbcbd2c0b&fccid=dd73beeae0833b8d&vjs=3,Toronto,1,,,,
66,"Data Scientist - Coop (Mississauga, ON)",https://www.indeed.ca/rc/clk?jk=bd1f9ff62ded72e6&fccid=de71a49b535e21cb&vjs=3,Toronto,1,1,,,
67,Data Scientist (1 Year Contract),https://www.indeed.ca/rc/clk?jk=605c3999a3e99acb&fccid=237908de095b6446&vjs=3,Toronto,,1,,,
68,Data Scientist,https://www.indeed.ca/rc/clk?jk=799bdb3faedce4d8&fccid=45180a5e7eb367ef&vjs=3,Toronto,,1,,,
69,Data Analyst,https://www.indeed.ca/rc/clk?jk=176f175513be3181&fccid=14fcbdb0bd2b535f&vjs=3,Toronto,,1,,,
70,Data Science Engineer,https://www.indeed.ca/rc/clk?jk=2c87bb9f4e38a36c&fccid=4c22ae79cf9a9685&vjs=3,Toronto,,,,,
71,"Analyst, Customer Analytics",https://www.indeed.ca/rc/clk?jk=caf20d8367cfe312&fccid=2e16043297423070&vjs=3,Toronto,,1,,,
72,Senior Data Scientist - Product Sourcing,https://www.indeed.ca/rc/clk?jk=5216f360808f8bf5&fccid=d5a5824be27ba831&vjs=3,Toronto,,1,,,
73,Data Scientist,https://www.indeed.ca/rc/clk?jk=ede5b31f905e13b1&fccid=1bf77f1dd2c2631f&vjs=3,Toronto,,,,,
74,Data Scientist,https://www.indeed.ca/rc/clk?jk=68a8634fb53a4854&fccid=353eb997fc901045&vjs=3,Toronto,,1,,,
75,Jr. and Sr. Analytics Consultant,https://www.indeed.ca/company/Advance-Analytics-and-Research-Lab/jobs/Junior-Senior-Analytic-Consultant-eb5a678235144ed8?fccid=33f8d55a2e28126f&vjs=3,Toronto,,1,1,,
76,Senior Data Scientist,https://www.indeed.ca/rc/clk?jk=be5ba2a5db1f9f4a&fccid=0ac3b933f5c5f8e3&vjs=3,Toronto,1,1,1,,1
77,"Director, Advanced Data Analytics Products",https://www.indeed.ca/rc/clk?jk=db7f140dc493a356&fccid=e703782e9a357fad&vjs=3,Toronto,,1,,,
78,Data Scientist,https://www.indeed.ca/rc/clk?jk=0a6813878acc5ab1&fccid=68463a22f867589a&vjs=3,Toronto,,1,1,1,
79,Sr. Data Scientist,https://www.indeed.ca/rc/clk?jk=6c0bbe76522fb952&fccid=f714139b1e4f4df4&vjs=3,Toronto,1,1,,,
80,Senior Data Scientist,https://www.indeed.ca/rc/clk?jk=0339dc36d9d1343c&fccid=0376130dee20ed0f&vjs=3,Toronto,1,1,,,
81,"Postdoctoral Research Fellow in Computer Vision, Deep Learning and SLAM",https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0Bop1AwOGSXkIS5LvCcIOLCU6dprbvn4zr_8xHydz3OCg5jCW24zXACXeySrV8WFL73U5XD2kmIxg4Q4YmHcdQrsnpjEaM5hFxJItfg5V6lRLqSb0C_xpPZYw-DOL-y8VMoOzIo5C51_Q3bn0tZJ3eW5fcfMB3rgIcC6Dt8n_Wz8dz1Cip-ikoO5zBTkbNjqzdXsmyMQC0UtuijB2866v7EbP5er75L0cpyQypFbmktA8qxg28Mj3b6P_Yw9rTcRjXHoKMT8Uq4fGbk1hmDfpuEMReKGzzWtDWCuQBjqdoNx8txHHbdvUDXObQJIZmcDOklJTUUCy9QJBiUcREwWI8bqOgJ-24K2LcNwM-xtmZnEE0pVnNxMXAfHzZql_iXrIKahVskSEIyxi62WTCU-tie2bEskl_gD1_66AXb4-HjhjrjZ8HJi9LJb_-XSsVc_tvEfLX7bd5SnTmLaT1vdvQnggB0SuVQ14iPKhx22Dflp6r8MS7KC6EO5Thfbzn1U9KN41oKfNB4Jw==&p=25&fvj=1&vjs=3,Toronto,,1,,,
82,"Director, Data Science Initiatives",https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DfaJzxeKsHg3yNa09Lu8cQQduvjegwzxl5yjE4sdO8aCQ7r433WSCgz7HcYFllrIANRFn7GZl0LUUkB4eDLyVGpcpyTEoXkxag_rLlMz-FEifsHVp8vD5NWcMGwXi68ypovIvdUB9dy1hcWhIOlf7kk14dGMtdIicFwJOOfQNfsYfcsfB9VnBqIST5owY6jWYvo0gOz9Cazyg36GZwpeI2H6XWhW_-7G_Pcfru50vhaXPFuPhyRyi2R7C8PQtRPfmxSlvExzs1VOfxDFc8p3d1cbnwj_6b1aWYADN9cHqaXFJQEDo_RUlpm6YKRuySBH5jHT3WJqRA5tPxc_Qb-IndWN_-HCiz0DanhLrcVEktoNnzOnD8lLt2LM0C8H7V-jhWRJcVED2V8KZsmVi_IzBCdXsl9YEnFLhdydwTefL-pN9J0VRoClQowVzKWihvBOHRZjU18RLAfh26UngZPIDZhshALqZTpDZ_asHRssgVRGJEjBOJr2sz00BH2dCwI-WBeVK3ESr9q6H64TyyJha36CkhN9eOrbFgKaYvq99KRzuKZSn8E_HY2f1KxFk6_0g=&p=26&fvj=0&vjs=3,Toronto,1,1,1,1,
83,Data Scientist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DznJ5LOB8Sxa7QeEp9Xu-7tmqymb8VetCdACJvEZcmjLc7NxI4nl05s9y4FYYvp4ZyoOtZSbXRe2a3zpGcFuqApy31lt2V0W7jSAKgf8m4RxlrxXtm2Yi7bMznNljQDNFsAXrnOWrm8s-G4yQ2XN3llIVSvPkOSYgtHJvGe8WNtKnE5S0U0xep87UPEw_Jhkqp2sJOtwH0SOw3TFa8yRxFiDN1k_A6XjE5M4wDQjAjNexGRUNZ1TYvH2uCh2WJ9qkQfkJWd6JmC4q3jMMAw2qRjReLohCyRG8IbmycvTmGE71HiUxsB46ArSkokhTjnIzSip5BUVNs5LpMIsYcrD7snursT08_BaLR3H3qmM9wLjdsSqPEpuO9fiUtmhpcl7gfjoA-pD6kC01zQtVUxMDmAxohilIazIcJF16EQpaFJhPeQxE_8FoEn-xNIZ4huLU=&p=27&fvj=1&vjs=3,Toronto,,1,,1,1
84,DATA SCIENTIST,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0CW81yLmMX0jZhkp9wi2Zzr1m-t1jAbw6FN9Wv5HozWh14F5jwCNHCXR2SMRH94RkiJl-9VEPLSMrqxQEyU1Gv-26IiIy0HkWM2RmvKZ7rRwiqbiCQS5ANixGX-hpQ2ko1TmyHM0qFWhLCooxFdx63KTMO4APb1o0kZc-vW5I-pYy_0Ym42K-qfEVv9ZDtQhytSP00v7JyiB2kdE2eL8A33G0InFEmUfOFxw9KvkhHyUQVHbhAu6H64yLsThmf86urlvMqnSaiuWQkVEDPVSqRDM-bINIh7AZ6fYZ1-sdCK8qyZaukf3jR0TTiUN7OLyxDEtRwqxNFQFKsJa14Qu9dTD1xQbvXMmJLkCdwHq7Cx4Wfr4fSCo_7Tz1VqAGqbuCyVUgRcpzXfz_PwJAK254CWoVMm95CGxMWNb5gj2PZQFA==&p=0&fvj=0&vjs=3,Toronto,,1,,,
85,Data Scientist - Price Point – Start-up company,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0BJik0eOC2RiRcwALxZHhvolY0CiBGpIrD3jqHmT6hgcj9GGUq3nwzxcDRn3ID9hoVNHpFJfiMZVEii0Cjbtagb3mhNDEo_oIHpFMg9rCWYzYfQN4HIi5Iz2oA57hgnhTPzzOvyQ_a7LX3zRK22bHJRRSaN0PAPBBB3IrcOYUTwEbOYlj1dbXvwp_muGTaq8RZZJhhgwbuexavqky3iZ0nrKc7fNLg8GPz-SEU0WjmGNhrMCwra49eqX4XibN5XZLLeHpzHpMo4y0BmSEafBtGUIgk_ecqOxMPWDZy_sFuGmjxYcXD00Bf_8H-6ofE95zwBVTOP3YyZHxkYsolvF6pWJUf5jOgkDtDNV0Y5VPu9hOzosWKnmgtIbz2hGJNa6wGZPIxdOkXp21qksUt3vDuS1YXYHOyohCqAd22K4NPewY25Yd8X9syhSha5SSgX3HUAwbwPJOSSKuXLDTG846q0kFZj20-9Z75cVg6qDXyBx4VFkxfeIRU9-ZZDX1UQsd9-S73PW-fSL4ynD99FpcALaUm6RO9D4ibZwn1QEDw7DaKcU8I6KT0QxehIHViInTKj25yDJGv4Rg==&p=1&fvj=0&vjs=3,Toronto,,,,,
86,Big Data Operations Specialist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DfaJzxeKsHg3yNa09Lu8cQQduvjegwzxl5yjE4sdO8aCQ7r433WSCgz7HcYFllrIDsHBe4z3rcFtA5i1J5G4FbQMDoOPjw874oHHM5HAs3M9-kNVuGFDx-C2Qyis7Vbs-NfuFaJ6u0bZw_pp4CQuht9hnUP7HcqHEvyWNHS0K1eShCLlcDwTOCy7nxCrk9n9V7jQW3_qTgQdMcW_VG89K2NPZSKIzy4Nz-fizBFTTS_nVmBwZpC_glektWnc30dqGSNPVcVGvqeCdWoNlxwDC_5DpZzDEOtcs4CLoGwTiAJ0yA5PZcpSQyWM8P6i5cQOd1197q2pv34v3i8vhQlK0sJwGkzUmzj3uA4Ld9zWMk-MEnZxPZiKrAmLrJUljHEOl6teo9Ng4pvLKZEOxrzwghh0BKKSZHPqXIUnZF4dNZT5zGOmB4EE_N_DTFsuVOpD83Cqh8HH6CmKQS3K9rXJKQF9268D5JH7swRmNphdFtVq1j0mTzWQ3O60dsbjW4ROBRUpqHWPhNWKJ7aPmGXhjljV1Ra95i9BrIOUUiO_wZPLc6bpRRjS8g3mO2mmWBPjQ=&p=2&fvj=0&vjs=3,Toronto,1,1,1,1,
87,Senior Data Scientist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DPvDrY7fOi7IBjGen6Dx7RXxfTf3xqH9cPvuoqrlxtCEWGirnFmPeDqLmC0lmmv53RT4c7TfVaEeCaKVRyV_uwnQ0WZWsfo1bn6WZeEBuu9sU3EZXbsctoqXEI3pYPLgSyBty4p-CKJVlNJuqhH5RgZux2kej8PJiaMngP8gGUPpUKW5vzg59t8vr7TsBoRoVClTx_6T3UaccET4yJ0FbjiTc0x2ppjI8t07ZdehTKp3UrK6EJdzWdhdg7XTJSLdTvweKl1KTwtBKFxjOPpHE7A5LFbzjeOpDzDgkl10WZocvl_tTsUGgBiJdXXxKg78SxyouzM18-OtJVHVaIa2UVc3TLcfohQAxJebL0wj_Cz19SsSTV0Tt7Y5hAiPcWicJ0a9cFPswWEYILUpNSqsQl14Eo-4NIYIe1J9OpF7OlrF323ILOQG-ShYSWDUo7iIa-CQMitSo6C8phP4MVv-1D6TTTeTQQW3ntn5aOx5vlhuKcXwiFMuxxqkcY6MKO552cg7gKrbO4cUcsSEYvYG0y23CYOhLj8031zhspJAWdJZ60GV3_8se0&p=3&fvj=0&vjs=3,Toronto,1,1,1,,1
88,"Director, Data Science Initiatives",https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DfaJzxeKsHg3yNa09Lu8cQQduvjegwzxl5yjE4sdO8aCQ7r433WSCgz7HcYFllrIANRFn7GZl0LUUkB4eDLyVGpcpyTEoXkxag_rLlMz-FEifsHVp8vD5NWcMGwXi68ypovIvdUB9dy1hcWhIOlf7kk14dGMtdIifNEsm_NGf49-7qjJ-VqsrqYun2d2CU7UhutF4v3V5Q50eeRo0pG5qmJrulSlEKuOdtGeNIUIedVbpbFYBDTdbyAeQaruBO0E_3z_vnAPE_MAuoJzszNYlC_BjKjiJwWzF3oMccBzwfANdtwb4L-8WcsUno-MnlqvIbjrtaP1WBU9BJXU_OYOkFffrcqUwdEKkIPGIGUOo3yRFtUTFJonqMcWGaqSIG1xuEiTLn4-7jtL_45PgXjO2TKKdLEZUfvZ_tNXpD0S84Rzlp6ax_BtnEYlGicn4Av5jKj9rfw1bqJJ30-QC8N3qKcxq7kdA4zAcD9RvX1_p_gs9dXzKZuAvCBs5yYAgEmUhx0Bp92llcyOqi4iZgN0bQrXWO7UmMD7aBsZllV-ITiczuhE1OnnTnTVuhlnQAhZU=&p=4&fvj=0&vjs=3,Toronto,1,1,1,1,
89,"Postdoctoral Research Fellow in Computer Vision, Deep Learning and SLAM",https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0Bop1AwOGSXkIS5LvCcIOLCU6dprbvn4zr_8xHydz3OCg5jCW24zXACXeySrV8WFL73U5XD2kmIxg4Q4YmHcdQrsnpjEaM5hFxJItfg5V6lRLqSb0C_xpPZYw-DOL-y8VMoOzIo5C51_Q3bn0tZJ3eW5fcfMB3rgIcC6Dt8n_Wz8dz1Cip-ikoOcjpMP8q3DjyVyFBhFy5NudDFc8B_pF80Vw0uN9QlcszAOcgrAfTEkAkcRP_ksjR6KyrRymIHHZJlXLcptqEt7Edck4iEgcpyjHnnZuM5bhv7cEILDnAnYIPlEwkbd9vWimYoac5qJaDagVKafiEUHThk5cbKlBc0DBKWSbE-QzjszPa_SUrIgiwbTKjCuyIVeVbxVL3Yi5c8tv0IwVVbYkFPwWmfH3FoivZTb3YkBqPTuojgIcqQsbw7CaQKluzu-rVR5-CjpdE-bJzmi4a7TStdkpMtFr2c7lLTTaXWXcyWUNqA3dG3F-bSQha1-MyyqIhng9EkZ8qwr24KyiqjJQ==&p=5&fvj=1&vjs=3,Toronto,,1,,,
90,"Associate - Quantitative Analytics, Structured Finance Modeling and Analytics",https://www.indeed.ca/rc/clk?jk=6ed834c6b0bb3af5&fccid=b6cbe54d4f54ff6d&vjs=3,Toronto,1,1,,,
91,Data Analyst,https://www.indeed.ca/company/SunnyFuture-Career-Ltd./jobs/Data-Analyst-a1800d6984190c21?fccid=d1afcae81392e688&vjs=3,Toronto,,1,,,
92,Senior Data Analyst,https://www.indeed.ca/rc/clk?jk=89ff3ce017711dd2&fccid=af33012bc464ab62&vjs=3,Toronto,1,1,,,
93,Big Data Operations Specialist,https://www.indeed.ca/rc/clk?jk=3d21f94162b7c899&fccid=4271edc9c2f82254&vjs=3,Toronto,1,1,1,1,
94,"Manager, Data Scientist",https://www.indeed.ca/rc/clk?jk=63dc077938995280&fccid=3002307a9e5b4706&vjs=3,Toronto,,,,,1
95,"Research Scientist, Data Visualization",https://www.indeed.ca/rc/clk?jk=121d53014cdcdf10&fccid=7136762d065a5ad7&vjs=3,Toronto,,1,,,
96,Senior Data Scientist (Toronto),https://www.indeed.ca/rc/clk?jk=39f4a2ddae910b91&fccid=be7195d2ebb48351&vjs=3,Toronto,1,1,,1,
97,"Data Scientist, Supply Chain/Customer Profitability",https://www.indeed.ca/rc/clk?jk=e1453dc3f640c130&fccid=5fb424bf650ac38a&vjs=3,Toronto,1,,1,,
98,"Data Scientist, Team Lead",https://www.indeed.ca/rc/clk?jk=a51f29616f2d869d&fccid=2dd390c3a48a7ed0&vjs=3,Toronto,,1,,,1
99,Data Scientist,https://www.indeed.ca/rc/clk?jk=39de5582a4da65c7&fccid=2c0a62ec8f3ae315&vjs=3,Toronto,1,1,,,
100,DIGITAL DATA ANALYST (DIGITAL AND DATA SCIENCE),https://www.indeed.ca/rc/clk?jk=bd80af8c4b6bc7c7&fccid=2c209e080b2e73f5&vjs=3,Toronto,1,1,,,
101,DevOps Engineer - Data Analyst,https://www.indeed.ca/rc/clk?jk=dca81c93dd9db428&fccid=b5583ca8df6a68c3&vjs=3,Toronto,1,1,1,,
102,Senior Data Scientist - Multiple Roles,https://www.indeed.ca/rc/clk?jk=8b8682c55db47522&fccid=d5a5824be27ba831&vjs=3,Toronto,1,,,,
103,Data Science Analyst- Marketing,https://www.indeed.ca/rc/clk?jk=eba8d9ead5e612a1&fccid=bc30630cfcc120d4&vjs=3,Toronto,1,1,1,,
104,Senior Data Scientist - Natural Language Processing (NLP),https://www.indeed.ca/rc/clk?jk=7de47385732d5e6b&fccid=ec55bde5facc64de&vjs=3,Toronto,,1,1,,
105,"Data Scientist, Financial Crimes and Cybersecurity, Senior Associate",https://www.indeed.ca/rc/clk?jk=f689732570784eb1&fccid=5e964c4afc56b180&vjs=3,Toronto,,1,1,,1
106,"Data Scientist, GEMINI (Contract)",https://www.indeed.ca/rc/clk?jk=23d4e4466c83a4f5&fccid=1a9a6d236cf89e9e&vjs=3,Toronto,,1,,,1
107,PySpark Big Data Developer,https://www.indeed.ca/rc/clk?jk=ac06595f0acb262c&fccid=1e1b063b57efdd06&vjs=3,Toronto,,1,,,
108,Data Engineer - BI & Data Science,https://www.indeed.ca/rc/clk?jk=25dbbd3fbbdb8ba2&fccid=4e917d9a3b14765d&vjs=3,Toronto,1,1,1,,
109,Learn more about our Digital Analytics team!,https://www.indeed.ca/rc/clk?jk=aa8153f46977e8a2&fccid=3002307a9e5b4706&vjs=3,Toronto,,1,,,
110,Big Data Instructor,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0CYMvVl1R3x4HhPmDe20s-Dsm8iEII5uyjFc-sLJEUXzLh2VAYLKF2jRQ5wKCQUQVEJBRfM7UITcbgLYL356kofBJUIJujXzN2DBReUeYkT1QzGkRR1PNVAGuESHqOPpvZdtigSrw45ao3-nzuu-x3yMyS3cTLhaTbB6EkBd7cmBTYOhe_BDBSzPvx7DS9FR6jIKKzp5JjHJ6E-CMOS28HtSbAIQW3tgivW4ttdWQcYFCBLLSBVnCeJELuiBbb3d1cnEJMSSEA3ORJkL0EanCAZN-LR5R_kE78cmZhmJNwiQvWS0cmYVo4Mff7_jTh9bcwGt69F5Uv5NPxeI2ix-N_hTNG18xCjSts0FQ8EbwUMNdBEQCTNoKQKAilY_etbbm2m75_bLq9LZXTSlfkB0nH97fGzZ_Nl9g8YW336KGq--0U-Pe3NVqp8mK7ZfSnOoabTyoVwKABEtA==&p=26&fvj=1&vjs=3,Toronto,,,,,
111,Data Scientist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DznJ5LOB8Sxa7QeEp9Xu-7tmqymb8VetCdACJvEZcmjLc7NxI4nl05s9y4FYYvp4ZyoOtZSbXRe2a3zpGcFuqApy31lt2V0W7jSAKgf8m4RxlrxXtm2Yi7bMznNljQDNFsAXrnOWrm8s-G4yQ2XN3llIVSvPkOSYgtHJvGe8WNtKnE5S0U0xepcD6YyaBD8o86P45bj-haWvyzUzEftrEnQzbcHTER6iOU-lcdh9hmzkOx62UASbS6IwavOn9P7grDvq6jJVB52tNnqqNlF0G4LtuXiaX6Jm8yc791qG7RVpDtVeMg5zgnrbU3IOUfBDDtVWCD1XGFx-2knXad-ktAoHwOGKJrA_Kzafd1WJngmW1a33vUZ6UTESpe6GAriXsD65L1lbbxDn1RP1hrj6tpAPlx-OuGCb0-dcDjHQuNFnaNGxfPCMA0gw8jEm1lSY8=&p=27&fvj=1&vjs=3,Toronto,,1,,1,1
112,SENIOR DATA SCIENTIST (DIGITAL AND DATA SCIENCE),https://www.indeed.ca/rc/clk?jk=2f09aad511e9553a&fccid=2c209e080b2e73f5&vjs=3,Toronto,,1,1,,1
113,Principal Data Scientist,https://www.indeed.ca/rc/clk?jk=bf06f5c62c377793&fccid=510aa29fcf8f87d9&vjs=3,Toronto,,1,1,,
114,"Lead Educator, Data Science",https://www.indeed.ca/rc/clk?jk=23673af37494b6b6&fccid=163ccc336a959b8b&vjs=3,Toronto,1,1,,,
115,"Senior Analytics Advisor, Data & Insights",https://www.indeed.ca/rc/clk?jk=79b73c2fd27eaabf&fccid=047c26a97a04fb5d&vjs=3,Toronto,,1,,,
116,Advanced Analytics Manager - RBC Ventures,https://www.indeed.ca/rc/clk?jk=f7cd71fafb731c93&fccid=537b899e30af3338&vjs=3,Toronto,1,1,1,,
117,Data Analyst,https://www.indeed.ca/rc/clk?jk=7fe266bc5662431d&fccid=68ec8a8ee6cf5ac6&vjs=3,Toronto,,1,1,1,1
118,"Senior Data Scientist, Fraud Modernization",https://www.indeed.ca/rc/clk?jk=f382ce6adbf03b5a&fccid=3a429036b3725efa&vjs=3,Toronto,1,1,1,,
119,Software Engineer - Machine Learning (Toronto),https://www.indeed.ca/rc/clk?jk=f7ab02ceaaccd02e&fccid=0e94073a1c937bd1&vjs=3,Toronto,1,1,,,
120,"SAP - Data and Analytics Specialist, Omnia AI",https://www.indeed.ca/rc/clk?jk=9d359a502bf3f63d&fccid=9e215d88a6b33622&vjs=3,Toronto,1,1,,,
121,Big Data Engineer,https://www.indeed.ca/rc/clk?jk=2cbef48dd42ca683&fccid=cb33d34834ce43c4&vjs=3,Toronto,,1,,,1
122,Senior Data Scientist - Fraud Analytics,https://www.indeed.ca/rc/clk?jk=407830e68afc8295&fccid=3a429036b3725efa&vjs=3,Toronto,1,1,1,,1
123,Big Data Developer (Cloud),https://www.indeed.ca/company/StackPros-Inc./jobs/Big-Data-Developer-84246ab5e79a7a7d?fccid=efee8d7cab418992&vjs=3,Toronto,,,,,
124,Data Analyst,https://www.indeed.ca/rc/clk?jk=8e197653dbfad239&fccid=fdab8f1cc9928006&vjs=3,Toronto,1,1,1,,1
125,MACHINE LEARNING ENGINEER (SOPHI),https://www.indeed.ca/rc/clk?jk=bd105888c7895767&fccid=2c209e080b2e73f5&vjs=3,Toronto,,1,,,
126,PROJECT MANAGER BUSINESS TRANSFORMATION PF&R (Data Analytics),https://www.indeed.ca/rc/clk?jk=5eab826899ca90cc&fccid=f2087b51205d4920&vjs=3,Toronto,,1,1,1,
127,Data Analyst - Contract,https://www.indeed.ca/rc/clk?jk=838a6c018a0d182e&fccid=af33012bc464ab62&vjs=3,Toronto,1,1,1,,
128,Senior Operations Data Analyst,https://www.indeed.ca/rc/clk?jk=f87a17bbe9b3a0c4&fccid=2525cc4a9a704809&vjs=3,Toronto,1,1,1,,
129,Senior Data Scientist,https://www.indeed.ca/rc/clk?jk=7a50abd08ae72e75&fccid=3d38508546395f15&vjs=3,Toronto,1,1,,,1
130,"Deep Learning Intern, Content & Technology - Summer 2020",https://www.indeed.ca/rc/clk?jk=0aa28b07356838e6&fccid=c267f29f0f85e8b8&vjs=3,Toronto,,,,,
131,Data Science Specialist,https://www.indeed.ca/rc/clk?jk=360e51a261f05990&fccid=f9ed656b63c620fc&vjs=3,Toronto,,1,,,
132,"Postdoctoral Research Fellow in Computer Vision, Deep Learning and SLAM",https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0Bop1AwOGSXkIS5LvCcIOLCU6dprbvn4zr_8xHydz3OCg5jCW24zXACXeySrV8WFL73U5XD2kmIxg4Q4YmHcdQrsnpjEaM5hFxJItfg5V6lRLqSb0C_xpPZYw-DOL-y8VMoOzIo5C51_Q3bn0tZJ3eW5fcfMB3rgIcC6Dt8n_Wz8dz1Cip-ikoOSvAklvotOFYsfFsRQagcRnc5cvKTrzS0_U2K_uqbe29U2Ii_D2zXgFg6buzntmabpyCwCs6fzpD3hoUkbrPs_43Nj16GqPiBd9zHUCFjxBZdeaRxHWp6K7dMDmlZVe7UxHF1NoRKHQB7dnOykN_DLYOPY3vz4Q0Pn1MTDpiG6Gl_aQPtWOMuiqxBUiblzQvTDI45Tf_YYywBegGGFsPFJENEz6DSCOKS-AiP5Db9iL_9vUEjrSOsMcq-YNdBjO1SaLDv6qtmA3R9-ex48sosQeHklJU7bvS1CgKPsMgD_7U9TKRa5F1pumHPobZII-N0BfQhfY_fGkRRIrisz5CC1g==&p=20&fvj=1&vjs=3,Toronto,,1,,,
